,gyroscope,light,accelerometer,magnetic,pressure
1149,28561.0,,,,
1150,,,,,
1151,,,28566.0,,
1152,28568.0,,,,
1153,,,,,
1154,,,,28569.0,
1155,,,28570.0,,
1156,28570.0,,,,
1157,,,,,
1158,,,28574.0,,
1159,28574.0,,,,
1160,,,,,
1161,,,28579.0,,
1162,28579.0,,,,
1163,,28579.0,,,
1164,,,,,
1165,,,,28581.0,
1166,,,28583.0,,
1167,28583.0,,,,
1168,,,,,
1169,,,28587.0,,
1170,28587.0,,,,
1171,,,,,
1172,,,28592.0,,
1173,28592.0,,,,
1174,,,,,
1175,,,,28594.0,
1176,,,28595.0,,
1177,28596.0,,,,
1178,,,,,
1179,,,28600.0,,
1180,28601.0,,,,
1181,,,,,
1182,,,28608.0,,
1183,28608.0,,,,
1184,,,,,
1185,,,,28608.0,
1186,,,28609.0,,
1187,28610.0,,,,
1188,,,,,
1189,,,28613.0,,
1190,28614.0,,,,
1191,,,,,
1192,,,28620.0,,
1193,28620.0,,,,
1194,,,,,
1195,,,,28621.0,
1196,,,28623.0,,
1197,28624.0,,,,
1198,,,,,
1199,,,28627.0,,
1200,28629.0,,,,
1201,,,,,
1202,,,28632.0,,
1203,28634.0,,,,
1204,,,,,
1205,,,,28634.0,
1206,,,28635.0,,
1207,28636.0,,,,
1208,,,,,
1209,,,28641.0,,
1210,28641.0,,,,
1211,,,,,
1212,,,28644.0,,
1213,28644.0,,,,
1214,,,,,
1215,,,,28646.0,
1216,,,28648.0,,
1217,28649.0,,,,
1218,,,,,
1219,,,28652.0,,
1220,28653.0,,,,
1221,,,,,
1222,,,28657.0,,
1223,28658.0,,,,
1224,,,,,
1225,,,,28659.0,
1226,,,28661.0,,
1227,28662.0,,,,
1228,,,,,
1229,,,28666.0,,
1230,28666.0,,,,
1231,,,,,
1232,,,28670.0,,
1233,28671.0,,,,
1234,,,,,
1235,,,,28673.0,
1236,,,28675.0,,
1237,28675.0,,,,
1238,,,,,
1239,,,28679.0,,
1240,28680.0,,,,
1241,,,,,28680.0
1242,,,,,
1243,,,28686.0,,
1244,28686.0,,,,
1245,,,,,
1246,,,,28686.0,
1247,,,28688.0,,
1248,28688.0,,,,
1249,,,,,
1250,,,28692.0,,
1251,28692.0,,,,
1252,,,,,
1253,,,28696.0,,
1254,28697.0,,,,
1255,,,,,
1256,,,,28697.0,
1257,,,28700.0,,
1258,28701.0,,,,
1259,,,,,
1260,,,28705.0,,
1261,28705.0,,,,
1262,,,,,
1263,,,28709.0,,
1264,28710.0,,,,
1265,,,,,
1266,,,,28711.0,
1267,,,28714.0,,
1268,28714.0,,,,
1269,,,,,
1270,,,28718.0,,
1271,28718.0,,,,
1272,,,,,
1273,,,28722.0,,
1274,28723.0,,,,
1275,,,,,
1276,,,,28724.0,
1277,,,28726.0,,
1278,28727.0,,,,
1279,,,,,
1280,,,28731.0,,
1281,28732.0,,,,
